root_seed,L,outage_count,total_valid_slots,outage_rate_percent,average_throughput_mbps,qos_effective_throughput_mbps
101,1,7,192,3.6458333333333335,182.16720666666666,177.82029320833334
101,2,8,192,4.166666666666667,198.77194570833333,193.169557875
101,3,6,192,3.125,197.82320779166665,193.90345883333333
101,4,12,192,6.25,196.36421866666666,188.86323466666667
201,1,3,192,1.5625,193.70390895833333,191.365879125
201,2,4,192,2.0833333333333335,200.19409041666665,196.987228
201,3,2,192,1.0416666666666667,203.85148775,202.19649941666665
201,4,1,192,0.5208333333333334,206.82838483333333,205.98332858333333
301,1,30,192,15.625,197.13243020833335,165.61287816666666
301,2,0,192,0.0,211.26217116666666,211.26217116666666
301,3,0,192,0.0,210.60096341666664,210.60096341666664
301,4,0,192,0.0,214.30838583333335,214.30838583333335
401,1,7,192,3.6458333333333335,180.77167554166667,175.59997458333333
401,2,1,192,0.5208333333333334,197.43867433333335,196.63372425
401,3,3,192,1.5625,193.65838816666667,191.24891283333335
401,4,3,192,1.5625,195.664092,193.20222541666666
501,1,0,192,0.0,211.328653,211.328653
501,2,1,192,0.5208333333333334,217.936469,217.16722816666666
501,3,2,192,1.0416666666666667,221.86215116666665,219.966469
501,4,1,192,0.5208333333333334,231.68547533333333,230.83088516666666
601,1,19,192,9.895833333333334,176.39173275,162.71134625
601,2,15,192,7.8125,190.35709925,179.22281654166665
601,3,9,192,4.6875,190.58551079166665,183.53313275
601,4,9,192,4.6875,191.34666604166665,184.0309335
701,1,18,192,9.375,178.68873645833335,165.16036070833334
701,2,4,192,2.0833333333333335,198.91470891666665,195.43315
701,3,3,192,1.5625,200.46409666666665,197.67089066666665
701,4,0,192,0.0,201.24740216666666,201.24740216666666
801,1,1,192,0.5208333333333334,196.64596779166666,196.01013516666666
801,2,0,192,0.0,207.83921025,207.83921025
801,3,0,192,0.0,209.63779,209.63779
801,4,0,192,0.0,219.55123775,219.55123775
901,1,27,192,14.0625,188.5638235,163.875497
901,2,3,192,1.5625,201.23539775,198.889106
901,3,5,192,2.6041666666666665,202.199877,198.03293775
901,4,1,192,0.5208333333333334,209.00428825,208.21016341666666
1001,1,4,192,2.0833333333333335,187.56390258333334,185.04328216666664
1001,2,7,192,3.6458333333333335,193.08985291666664,188.1836575
1001,3,6,192,3.125,191.08453683333335,186.400399125
1001,4,4,192,2.0833333333333335,195.01167025,191.43552616666665
