method,root_seed,domain,valid_slots,joint_qos_outage_count,joint_qos_outage_rate_percent,mean_prediction_nmse,average_sum_throughput_mbit_s,qos_effective_throughput_mbit_s
padu,101,in_domain,192,6,3.125,0.3657917397407194,197.82320779166665,193.90345883333333
padu,201,in_domain,192,2,1.0416666666666667,0.3808942871013035,203.85148775,202.19649941666665
padu,301,in_domain,192,0,0.0,0.2925748987278591,210.60096341666664,210.60096341666664
padu,401,in_domain,192,3,1.5625,0.40473145091285306,193.65838816666667,191.24891283333335
padu,501,in_domain,192,2,1.0416666666666667,0.2792977838156124,221.86215116666665,219.966469
padu,601,in_domain,192,9,4.6875,0.3998451416070263,190.58551079166665,183.53313275
padu,701,in_domain,192,3,1.5625,0.3417300138777743,200.46409666666665,197.67089066666665
padu,801,in_domain,192,0,0.0,0.24325564123379687,209.63779,209.63779
padu,901,in_domain,192,5,2.6041666666666665,0.33293542490961653,202.199877,198.03293775
padu,1001,in_domain,192,6,3.125,0.3625324652530253,191.08453683333335,186.400399125
benchmark1_without_csi_prediction,101,in_domain,192,13,6.770833333333333,0.4830932076244305,196.1101275,185.82008745833335
benchmark1_without_csi_prediction,201,in_domain,192,5,2.6041666666666665,0.5035683716026446,200.68796025,196.48525191666667
benchmark1_without_csi_prediction,301,in_domain,192,1,0.5208333333333334,0.372151634345452,205.37746108333334,204.5526835
benchmark1_without_csi_prediction,401,in_domain,192,7,3.6458333333333335,0.5322567361096541,188.17837566666665,182.15984858333334
benchmark1_without_csi_prediction,501,in_domain,192,0,0.0,0.3591699832274268,215.33241166666664,215.33241166666664
benchmark1_without_csi_prediction,601,in_domain,192,20,10.416666666666666,0.5334805472133061,182.792925875,169.84906245833335
benchmark1_without_csi_prediction,701,in_domain,192,9,4.6875,0.44984043723282713,192.4750525,184.6127325
benchmark1_without_csi_prediction,801,in_domain,192,1,0.5208333333333334,0.3007308344822377,195.78064116666667,195.02016483333335
benchmark1_without_csi_prediction,901,in_domain,192,3,1.5625,0.43487130365489673,197.175460125,194.74547733333335
benchmark1_without_csi_prediction,1001,in_domain,192,4,2.0833333333333335,0.4775133356451988,190.86361758333334,187.99948366666666
benchmark2_without_unfolding_refinement,101,in_domain,192,12,6.25,0.3657917397407194,181.95298616666665,174.28378483333336
benchmark2_without_unfolding_refinement,201,in_domain,192,2,1.0416666666666667,0.3808942871013035,190.54600658333334,188.79081208333335
benchmark2_without_unfolding_refinement,301,in_domain,192,1,0.5208333333333334,0.2925748987278591,204.06332675,203.28980358333334
benchmark2_without_unfolding_refinement,401,in_domain,192,17,8.854166666666666,0.40473145091285306,181.930759375,169.51204341666664
benchmark2_without_unfolding_refinement,501,in_domain,192,0,0.0,0.2792977838156124,199.73039408333335,199.73039408333335
benchmark2_without_unfolding_refinement,601,in_domain,192,11,5.729166666666667,0.3998451416070263,179.91271616666666,171.810805625
benchmark2_without_unfolding_refinement,701,in_domain,192,10,5.208333333333333,0.3417300138777743,185.051625125,176.52774595833336
benchmark2_without_unfolding_refinement,801,in_domain,192,0,0.0,0.24325564123379687,197.12786716666665,197.12786716666665
benchmark2_without_unfolding_refinement,901,in_domain,192,8,4.166666666666667,0.33293542490961653,186.841244625,180.90204920833335
benchmark2_without_unfolding_refinement,1001,in_domain,192,8,4.166666666666667,0.3625324652530253,181.1323825,175.54912575
benchmark3_perfect_next_slot_csi,101,in_domain,192,0,0.0,0.0,208.31098779166666,208.31098779166666
benchmark3_perfect_next_slot_csi,201,in_domain,192,0,0.0,0.0,215.60525225,215.60525225
benchmark3_perfect_next_slot_csi,301,in_domain,192,0,0.0,0.0,218.24335766666667,218.24335766666667
benchmark3_perfect_next_slot_csi,401,in_domain,192,0,0.0,0.0,205.94417433333334,205.94417433333334
benchmark3_perfect_next_slot_csi,501,in_domain,192,0,0.0,0.0,230.55637566666667,230.55637566666667
benchmark3_perfect_next_slot_csi,601,in_domain,192,0,0.0,0.0,203.86894441666666,203.86894441666666
benchmark3_perfect_next_slot_csi,701,in_domain,192,0,0.0,0.0,209.2151385,209.2151385
benchmark3_perfect_next_slot_csi,801,in_domain,192,0,0.0,0.0,218.47887616666665,218.47887616666665
benchmark3_perfect_next_slot_csi,901,in_domain,192,0,0.0,0.0,214.06734475,214.06734475
benchmark3_perfect_next_slot_csi,1001,in_domain,192,0,0.0,0.0,202.98767225,202.98767225
benchmark4_nmse_trained_point_gru,101,in_domain,192,15,7.8125,0.3021595284808427,175.90466183333334,165.41520858333334
benchmark4_nmse_trained_point_gru,201,in_domain,192,0,0.0,0.3163380632176995,203.67756025,203.67756025
benchmark4_nmse_trained_point_gru,301,in_domain,192,0,0.0,0.2690238099700461,211.02477691666667,211.02477691666667
benchmark4_nmse_trained_point_gru,401,in_domain,192,33,17.1875,0.34056943709341186,183.84856520833335,161.85091370833334
benchmark4_nmse_trained_point_gru,501,in_domain,192,0,0.0,0.2531422494600217,229.66626683333334,229.66626683333334
benchmark4_nmse_trained_point_gru,601,in_domain,192,15,7.8125,0.32847197400406003,189.03827879166667,178.86081304166666
benchmark4_nmse_trained_point_gru,701,in_domain,192,11,5.729166666666667,0.2915557854187985,186.92588520833334,179.97578016666665
benchmark4_nmse_trained_point_gru,801,in_domain,192,0,0.0,0.24139533494599164,215.10610795833335,215.10610795833335
benchmark4_nmse_trained_point_gru,901,in_domain,192,5,2.6041666666666665,0.288806818658486,198.71387508333333,195.31363466666664
benchmark4_nmse_trained_point_gru,1001,in_domain,192,7,3.6458333333333335,0.3041428093953679,190.48632920833333,185.20979233333335
