root_seed,domain,scheme,trajectory_id,target_slot,prediction_nmse,actual_weighted_throughput_bps,joint_qos_outage,minimum_actual_sinr,maximum_constraint_violation,minimum_design_payload_bits,maximum_design_payload_bits,mean_design_payload_bits,design_payload_bits_user_1,design_payload_bits_user_2,design_payload_bits_user_3,design_payload_bits_user_4,mean_causal_channel_variation,causal_channel_variation_user_1,causal_channel_variation_user_2,causal_channel_variation_user_3,causal_channel_variation_user_4,mean_conditional_innovation_standard_deviation,conditional_innovation_standard_deviation_user_1,conditional_innovation_standard_deviation_user_2,conditional_innovation_standard_deviation_user_3,conditional_innovation_standard_deviation_user_4,control_total_s
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,3,0.19640079140663147,252787280.0,0,0.45955079793930054,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22197813540697098,0.2833753228187561,0.19173663854599,0.1834355890750885,0.22936499118804932,1.8331822502659634e-05,2.054894321190659e-05,1.8859756892197765e-05,1.753754804667551e-05,1.638104185985867e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,4,0.19731807708740234,257797968.0,0,0.45452257990837097,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23815961554646492,0.290789395570755,0.20131365954875946,0.19237634539604187,0.26815906167030334,1.8620122773427283e-05,1.8682383597479202e-05,1.922817318700254e-05,1.761616294970736e-05,1.8953771359520033e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,5,0.18507704138755798,250434576.0,0,0.4349016547203064,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.23849595710635185,0.29194045066833496,0.19646580517292023,0.18847092986106873,0.2771066427230835,1.865317290139501e-05,1.930206417455338e-05,1.84695436473703e-05,1.6393860278185457e-05,2.0447223505470902e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,6,0.18554234504699707,255609824.0,0,0.46024397015571594,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.22401577234268188,0.2783948481082916,0.1721499115228653,0.1917337030172348,0.2537846267223358,1.893182343337685e-05,2.3918875740491785e-05,1.8842736608348787e-05,1.3131191735737957e-05,1.9834489648928866e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,7,0.17580877244472504,261593808.0,0,0.4756264388561249,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21280304342508316,0.2691597044467926,0.16665562987327576,0.19462357461452484,0.22077326476573944,1.846454392762098e-05,2.2276184608926997e-05,1.8341692339163274e-05,1.4873320651531685e-05,1.8366978110861965e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,8,0.16883157193660736,269390496.0,0,0.46813663840293884,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21058150753378868,0.2569892406463623,0.18073420226573944,0.17516613006591797,0.229436457157135,1.9042389794776682e-05,2.352275805606041e-05,1.855089249147568e-05,1.4187851775204763e-05,1.9908056856365874e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,9,0.18311282992362976,263629888.0,0,0.46512213349342346,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.20507390797138214,0.24089281260967255,0.1583385169506073,0.17496119439601898,0.24610310792922974,1.9129031898046378e-05,2.4314160327776335e-05,1.67684684129199e-05,1.532580063212663e-05,2.0107698219362646e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,10,0.16235268115997314,269387136.0,0,0.48916786909103394,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21028351411223412,0.25831592082977295,0.1683143526315689,0.17342184484004974,0.24108193814754486,1.9781718037847895e-05,2.209172998846043e-05,1.7632612070883624e-05,1.7406764527549967e-05,2.199576556449756e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,11,0.19958315789699554,277993920.0,0,0.48649275302886963,1.1920928955078125e-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21164967492222786,0.2661757171154022,0.1965659111738205,0.166133850812912,0.21772322058677673,1.900012875921675e-05,1.9494298612698913e-05,1.786207030818332e-05,1.7675385606708005e-05,2.0968760509276763e-05,0.0015276687500242285
501,in_domain,probabilistic_gru_mean_scenario_without_uncertainty_conditioning_max_min_payload_primal_dual_unfolding,in-domain-test-00000,12,0.19521069526672363,272323200.0,0,0.48951494693756104,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.21798581257462502,0.27890247106552124,0.1934671700000763,0.15760786831378937,0.24196574091911316,1.9116616840619827e-05,2.163811404898297e-05,1.9164979676133953e-05,1.6115609469125047e-05,1.9547764168237336e-05,0.0015276687500242285
